A,69.59,A190816P00042500,call,8/16/19,42.5,0,25.05,29.5,0,0,1.0356,1,0,-0.9762,0
A,69.59,A190816P00042500,put,8/16/19,42.5,0,0,0.04,0,0,1.2329,0,0,0,0
A,69.59,A190816C00045000,call,8/16/19,45,0,22.35,27,0,0,1.0356,1,0,-1.0336,0
A,69.59,A190816P00045000,put,8/16/19,45,0,0,0.04,0,0,1.2329,0,0,0,0
A,69.59,A190816C00047500,call,8/16/19,47.5,0,19.85,24.4,0,0,1.0356,1,0,-1.091,0
A,69.59,A190816P00047500,put,8/16/19,47.5,0.12,0,0.04,0,29,1.2329,0,0,0,0
A,69.59,A190816C00050000,call,8/16/19,50,21.05,17.3,21.25,2,9,1.0356,1,0,-1.1484,0
A,69.59,A190816P00050000,put,8/16/19,50,0.07,0,0.01,0,19,1.2329,0,0,0,0
A,69.59,A190816C00055000,call,8/16/19,55,0,12.5,16.95,0,0,1.0356,1,0,-1.2633,0
A,69.59,A190816P00055000,put,8/16/19,55,0.1,0,0.01,0,216,1.2329,0,0,0,0
A,69.59,A190816C00057500,call,8/16/19,57.5,16.75,9.7,12.85,0,2,1.0356,1,0,-1.3207,0
A,69.59,A190816P00057500,put,8/16/19,57.5,0.01,0,0.01,132,323,1.2329,0,0,-0.001,0
A,69.59,A190816C00060000,call,8/16/19,60,6.7,8,11.25,0,29,1.0356,1,0,-1.384,0
A,69.59,A190816P00060000,put,8/16/19,60,0.02,0.01,0.03,200,952,1.2329,0,0.0001,-0.1908,0.0003
A,69.59,A190816C00062500,call,8/16/19,62.5,6.8,6.85,7.55,48,67,1.0356,0.9997,0.0005,-2.6738,0.0022
A,69.59,A190816P00062500,put,8/16/19,62.5,0.02,0,0.05,150,1240,1.2329,-0.0018,0.0023,-8.3678,0.0124
A,69.59,A190816C00065000,call,8/16/19,65,4.55,4.3,4.95,107,335,1.0356,0.986,0.0164,-44.0866,0.0752
A,69.59,A190816P00065000,put,8/16/19,65,0.05,0.02,0.05,1464,3710,1.2329,-0.0321,0.0278,-102.1404,0.1514
A,69.59,A190816C00067500,call,8/16/19,67.5,2.65,1.93,2.44,106,499,1.0356,0.8391,0.1121,-292.5004,0.5136
A,69.59,A190816P00067500,put,8/16/19,67.5,0.1,0.07,0.17,276,2018,0.8844,-0.124,0.1101,-208.2765,0.4306
A,69.59,A190816C00070000,call,8/16/19,70,0.4,0.37,0.46,926,2416,0.7095,0.3966,0.2583,-315.507,0.8106
A,69.59,A190816P00070000,put,8/16/19,70,0.82,0.74,0.92,224,1224,0.717,-0.6023,0.2558,-317.4759,0.8112
A,69.59,A190816C00072500,call,8/16/19,72.5,0.1,0.07,0.12,1212,1089,1.019,0.0944,0.0785,-197.5045,0.3537
A,69.59,A190816P00072500,put,8/16/19,72.5,2.39,2.67,3.4,33,697,0.9777,-0.9148,0.0758,-173.9247,0.3278
A,69.59,A190816C00075000,call,8/16/19,75,0.01,0,0.01,367,1307,1.0356,0.0088,0.0109,-28.2963,0.0499
A,69.59,A190816P00075000,put,8/16/19,75,3.75,5.15,5.7,182,284,0.9777,-0.9941,0.0081,-17.1265,0.0352
A,69.59,A190816C00077500,call,8/16/19,77.5,0.03,0,0.04,75,3127,1.0356,0.0003,0.0005,-1.3558,0.0024
A,69.59,A190816P00077500,put,8/16/19,77.5,7.95,7.55,8.2,3,150,0.9777,-0.9999,0.0003,1.1578,0.0012
A,69.59,A190816C00080000,call,8/16/19,80,0.01,0,0.01,16,3979,1.0356,0,0,-0.0251,0
A,69.59,A190816P00080000,put,8/16/19,80,9.73,8.55,12.75,0,4,0.9777,-1,0,1.8304,0
A,69.59,A190816C00082500,call,8/16/19,82.5,0.03,0,0.04,0,1331,1.0356,0,0,-0.0002,0
A,69.59,A190816P00082500,put,8/16/19,82.5,12.21,10.5,15.1,0,0,0.9777,-1,0,1.8949,0
A,69.59,A190816C00085000,call,8/16/19,85,0.01,0,0.04,0,748,1.0356,0,0,0,0
A,69.59,A190816P00085000,put,8/16/19,85,8.75,13,17.55,0,0,0.9777,-1,0,1.9523,0
A,69.59,A190816C00087500,call,8/16/19,87.5,0.04,0,0.04,0,196,1.0356,0,0,0,0
